project_id,project_type,location,initial_estimated_duration,initial_estimated_cost,square_footage,num_floors,soil_condition_score,complexity_score,actual_duration,actual_cost,weather_delays,avg_daily_workers,equipment_utilization_rate,safety_incidents,safety_score,defects_found,quality_score,delay_in_days,cost_overrun,cost_per_sqft,productivity_rate,cost_overrun_percentage,delay_percentage
23,Industrial,Site_22,366,5583162.33,59279,11,3.33,3.28,341,6995008.07,6,104,0.89,3,8.17,22,8.57,-25,1411845.74,118.0,1.67,25.29,-6.83
24,Commercial,Site_23,250,2252397.28,90489,45,8.85,7.81,277,2928520.59,9,134,0.79,4,9.67,27,9.27,27,676123.31,32.36,2.44,30.02,10.8
25,Commercial,Site_24,549,3346161.16,27806,47,3.83,1.74,472,3414515.56,28,50,0.66,1,7.72,48,6.02,-77,68354.4,122.8,1.18,2.04,-14.03
26,Infrastructure,Site_25,403,3444400.8,46000,12,4.94,9.32,504,4918924.12,27,132,0.76,2,7.84,29,9.97,101,1474523.32,106.93,0.69,42.81,25.06
27,Residential,Site_26,111,4274522.1,23168,21,2.83,3.93,149,4347180.61,22,16,0.94,3,7.16,13,6.73,38,72658.51,187.64,9.72,1.7,34.23
28,Infrastructure,Site_27,342,4554494.6,71119,11,7.87,2.15,426,4955683.71,12,78,0.86,4,9.39,36,7.88,84,401189.11,69.68,2.14,8.81,24.56
29,Residential,Site_28,650,8097929.21,39714,39,3.97,4.98,727,10303271.54,28,78,0.88,2,8.25,31,9.49,77,2205342.33,259.44,0.7,27.23,11.85
30,Commercial,Site_29,564,3819176.49,55093,28,5.14,1.38,742,4900041.78,7,90,0.61,0,7.69,48,6.9,178,1080865.29,88.94,0.82,28.3,31.56
31,Infrastructure,Site_30,148,4948202.37,56419,5,2.53,7.16,180,6529800.47,11,39,0.76,0,7.7,33,7.91,32,1581598.1,115.74,8.04,31.96,21.62
32,Industrial,Site_31,600,6437271.88,50145,17,9.88,9.12,483,6226174.6,21,82,0.83,2,9.7,40,6.53,-117,-211097.28,124.16,1.27,-3.28,-19.5
33,Infrastructure,Site_32,565,4088396.5,78425,20,2.91,8.54,585,5763325.29,23,15,0.89,1,9.5,43,7.58,20,1674928.79,73.49,8.94,40.97,3.54
34,Industrial,Site_33,279,8447365.73,93949,41,7.71,2.15,365,10303321.92,18,98,0.62,2,8.66,21,6.71,86,1855956.19,109.67,2.63,21.97,30.82
35,Infrastructure,Site_34,652,6080809.24,78811,46,4.27,2.14,656,7192339.07,25,156,0.9,2,8.85,30,7.45,4,1111529.83,91.26,0.77,18.28,0.61
36,Infrastructure,Site_35,656,3293424.45,3461,12,2.06,8.32,538,4902784.55,25,75,0.79,3,8.42,6,7.49,-118,1609360.1,1416.58,0.09,48.87,-17.99
37,Infrastructure,Site_36,333,7283562.4,15291,6,8.0,9.32,415,9790761.07,29,19,0.67,0,8.17,40,9.97,82,2507198.67,640.3,1.94,34.42,24.62
38,Infrastructure,Site_37,594,5512653.44,47804,17,3.34,5.15,761,5351703.89,0,153,0.71,0,9.75,20,9.98,167,-160949.55,111.95,0.41,-2.92,28.11
39,Industrial,Site_38,220,5577330.97,77971,19,8.65,5.49,197,7551279.47,15,46,0.7,4,7.38,15,6.46,-23,1973948.5,96.85,8.6,35.39,-10.45
40,Infrastructure,Site_39,574,5070335.51,94471,26,9.15,3.86,644,4853068.39,21,86,0.79,2,8.26,19,8.9,70,-217267.12,51.37,1.71,-4.29,12.2
41,Commercial,Site_40,110,5221613.51,65946,48,8.6,9.05,100,4785516.56,16,86,0.62,2,8.03,42,6.21,-10,-436096.96,72.57,7.67,-8.35,-9.09
42,Infrastructure,Site_41,256,7770884.67,99989,44,0.35,6.8,315,8875714.37,24,41,0.66,1,8.49,43,6.12,59,1104829.7,88.77,7.74,14.22,23.05
43,Infrastructure,Site_42,363,1478324.05,85080,44,7.87,3.59,349,2211789.96,29,56,0.88,0,8.37,46,6.42,-14,733465.9,26.0,4.35,49.61,-3.86
44,Industrial,Site_43,477,3676446.71,62332,32,4.11,3.69,472,3694572.92,17,119,0.65,1,8.56,49,9.86,-5,18126.21,59.27,1.11,0.49,-1.05
45,Commercial,Site_44,690,1217281.96,78794,6,8.74,9.02,901,1586832.45,10,180,0.68,3,7.42,18,9.76,211,369550.5,20.14,0.49,30.36,30.58
46,Residential,Site_45,405,7655839.1,31841,36,6.38,1.12,439,7686750.62,17,129,0.76,4,8.54,47,6.78,34,30911.52,241.41,0.56,0.4,8.4
47,Residential,Site_46,103,3086867.62,49758,38,8.34,3.9,123,4120573.72,6,173,0.78,1,7.73,31,6.65,20,1033706.1,82.81,2.34,33.49,19.42
48,Commercial,Site_47,331,9025588.89,77272,11,4.99,5.99,344,10859698.68,17,163,0.87,0,7.55,14,6.96,13,1834109.78,140.54,1.38,20.32,3.93
49,Infrastructure,Site_48,435,5502495.43,38643,33,5.35,2.33,425,7197170.63,25,19,0.76,3,7.19,4,8.06,-10,1694675.19,186.25,4.79,30.8,-2.3
50,Infrastructure,Site_49,654,8107122.83,51408,24,1.44,1.83,768,8283241.2,7,168,0.88,2,9.29,10,8.28,114,176118.37,161.13,0.4,2.17,17.43
51,Infrastructure,Site_50,429,9799848.64,44950,23,7.84,8.34,383,13204090.65,5,106,0.82,3,8.28,14,6.89,-46,3404242.02,293.75,1.11,34.74,-10.72
52,Commercial,Site_51,181,8477994.16,57849,15,4.19,9.05,185,12694706.3,29,166,0.64,1,8.88,28,9.03,4,4216712.13,219.45,1.88,49.74,2.21
53,Infrastructure,Site_52,456,8736440.72,29044,27,5.0,8.41,421,11352046.33,6,14,0.65,0,9.18,49,7.24,-35,2615605.61,390.86,4.93,29.94,-7.68
54,Infrastructure,Site_53,544,4375852.71,16997,11,7.85,9.09,662,5233904.91,22,86,0.75,1,9.04,44,9.69,118,858052.2,307.93,0.3,19.61,21.69
55,Residential,Site_54,517,5741364.65,80751,17,5.99,5.98,706,8347395.29,21,10,0.74,2,8.41,3,8.63,189,2606030.64,103.37,11.44,45.39,36.56
56,Residential,Site_55,598,2911941.36,99605,14,2.01,8.31,835,2648443.0,9,140,0.86,2,8.16,48,7.75,237,-263498.35,26.59,0.85,-9.05,39.63
57,Industrial,Site_56,124,2363074.45,24911,27,5.9,4.46,132,3161685.17,10,76,0.8,0,8.13,35,9.16,8,798610.73,126.92,2.48,33.8,6.45
58,Infrastructure,Site_57,295,5302324.85,56533,18,4.08,7.0,280,7599546.01,24,172,0.74,4,8.92,47,9.27,-15,2297221.16,134.43,1.17,43.32,-5.08
59,Infrastructure,Site_58,170,6152965.31,83566,28,4.7,9.9,181,5765357.72,12,24,0.66,3,8.48,22,7.16,11,-387607.59,68.99,19.24,-6.3,6.47
60,Infrastructure,Site_59,651,3723076.84,95870,47,0.28,3.03,851,4356143.24,8,102,0.68,3,9.55,14,7.36,200,633066.41,45.44,1.1,17.0,30.72
61,Industrial,Site_60,477,5909713.42,15571,47,2.1,4.51,440,6044642.06,6,39,0.8,2,9.62,45,9.74,-37,134928.64,388.2,0.91,2.28,-7.76
62,Infrastructure,Site_61,91,8930874.58,95463,4,2.81,5.32,124,11073488.74,8,112,0.75,1,7.51,43,6.66,33,2142614.15,116.0,6.87,23.99,36.26
63,Industrial,Site_62,479,5788855.06,58941,7,7.13,2.24,481,7466035.57,12,91,0.78,1,7.41,2,6.17,2,1677180.52,126.67,1.35,28.97,0.42
64,Residential,Site_63,655,7347724.41,59005,45,0.11,1.73,911,7947107.02,25,84,0.66,4,8.89,31,7.82,256,599382.61,134.69,0.77,8.16,39.08
65,Industrial,Site_64,195,8150492.19,87250,35,4.09,8.47,254,9584889.17,2,180,0.83,1,7.9,9,9.2,59,1434396.98,109.86,1.91,17.6,30.26
66,Commercial,Site_65,566,9892923.43,59712,48,9.24,9.79,727,10561721.57,2,69,0.9,3,7.06,39,9.09,161,668798.14,176.88,1.19,6.76,28.45
67,Industrial,Site_66,491,6230375.32,44541,9,1.12,4.64,486,6988205.15,0,49,0.69,1,9.67,37,9.68,-5,757829.82,156.89,1.87,12.16,-1.02
68,Residential,Site_67,645,8165076.42,24387,8,5.16,1.79,519,8130162.34,20,166,0.77,4,7.68,21,8.13,-126,-34914.08,333.38,0.28,-0.43,-19.53
69,Residential,Site_68,251,9645168.53,94980,45,7.87,1.59,258,13805473.72,19,83,0.94,3,9.79,13,6.4,7,4160305.19,145.35,4.44,43.13,2.79
70,Industrial,Site_69,291,9471892.39,49908,17,9.43,9.02,285,8581593.67,1,130,0.72,1,9.15,16,8.35,-6,-890298.72,171.95,1.35,-9.4,-2.06
71,Residential,Site_70,359,1840277.56,86457,17,7.47,5.17,295,2630576.5,24,156,0.81,3,9.29,20,9.11,-64,790298.94,30.43,1.88,42.94,-17.83
72,Commercial,Site_71,360,4360726.93,14057,49,7.21,3.88,397,5420415.52,2,12,0.63,2,7.6,47,6.37,37,1059688.59,385.6,2.95,24.3,10.28
73,Residential,Site_72,545,3577905.58,65028,33,8.26,5.29,567,3932099.29,14,45,0.81,2,7.7,14,6.69,22,354193.71,60.47,2.55,9.9,4.04
74,Residential,Site_73,551,1325787.64,56731,32,4.46,3.86,650,1768381.0,23,52,0.63,2,8.56,14,6.05,99,442593.36,31.17,1.68,33.38,17.97
75,Residential,Site_74,341,6515787.36,25858,8,8.06,5.4,399,7849251.66,5,152,0.94,1,7.52,0,8.37,58,1333464.3,303.55,0.43,20.47,17.01
76,Industrial,Site_75,385,7491093.83,49689,19,0.08,8.74,335,8985306.31,29,178,0.85,4,7.92,23,9.55,-50,1494212.49,180.83,0.83,19.95,-12.99
77,Infrastructure,Site_76,427,8557216.91,45638,38,9.25,6.33,591,8267002.06,12,124,0.88,3,7.96,11,8.68,164,-290214.85,181.14,0.62,-3.39,38.41
78,Infrastructure,Site_77,142,1666380.45,92598,3,4.43,7.25,129,1889191.54,20,118,0.85,0,7.48,9,9.93,-13,222811.09,20.4,6.08,13.37,-9.15
79,Commercial,Site_78,306,8826218.72,47486,5,5.53,4.28,326,9220208.83,0,99,0.81,2,7.62,45,6.25,20,393990.11,194.17,1.47,4.46,6.54
80,Residential,Site_79,277,6607792.85,21567,13,2.55,7.65,302,6009242.74,19,173,0.76,2,9.37,41,9.61,25,-598550.11,278.63,0.41,-9.06,9.03
81,Infrastructure,Site_80,469,7187488.28,30739,47,7.43,7.0,603,8021666.58,18,93,0.9,0,7.5,41,9.26,134,834178.3,260.96,0.55,11.61,28.57
82,Industrial,Site_81,582,9150928.03,58804,46,0.77,2.08,500,8729008.74,0,86,0.93,0,7.09,30,7.26,-82,-421919.3,148.44,1.37,-4.61,-14.09
83,Infrastructure,Site_82,130,6435232.07,4754,31,8.73,6.15,137,6783365.41,27,170,0.77,1,8.89,10,9.89,7,348133.33,1426.88,0.2,5.41,5.38
84,Infrastructure,Site_83,246,3690725.64,28044,16,8.28,3.31,289,3526525.16,20,14,0.93,3,9.93,15,7.15,43,-164200.48,125.75,6.93,-4.45,17.48
85,Commercial,Site_84,104,8338519.65,68260,32,2.16,8.24,96,8009689.92,21,87,0.8,2,7.99,8,9.56,-8,-328829.73,117.34,8.17,-3.94,-7.69
86,Residential,Site_85,154,3949062.52,67912,22,8.09,4.83,181,4025701.09,1,100,0.79,4,7.36,46,9.52,27,76638.57,59.28,3.75,1.94,17.53
87,Industrial,Site_86,610,825167.05,9706,29,7.86,9.95,826,1237675.94,14,96,0.76,1,8.71,13,9.03,216,412508.89,127.52,0.12,49.99,35.41
88,Infrastructure,Site_87,433,8391217.81,9894,22,6.32,1.83,605,7563092.6,13,23,0.67,1,9.72,18,8.25,172,-828125.21,764.41,0.71,-9.87,39.72
89,Industrial,Site_88,218,3779325.38,19037,43,3.74,8.02,178,4849643.86,18,113,0.6,4,9.35,30,6.48,-40,1070318.48,254.75,0.95,28.32,-18.35
90,Industrial,Site_89,561,7851427.97,84986,3,2.71,7.06,528,7731664.01,10,92,0.68,4,8.87,8,8.13,-33,-119763.96,90.98,1.75,-1.53,-5.88
91,Infrastructure,Site_90,152,3946200.0,82942,10,2.32,7.91,149,5731369.65,29,184,0.78,4,7.95,35,7.43,-3,1785169.65,69.1,3.03,45.24,-1.97
92,Commercial,Site_91,228,8680146.19,52612,42,3.19,3.77,237,8299779.89,14,63,0.73,0,8.63,38,9.17,9,-380366.3,157.75,3.52,-4.38,3.95
93,Infrastructure,Site_92,588,2585349.99,30725,21,9.04,5.43,555,3808318.55,5,141,0.76,2,7.27,25,9.03,-33,1222968.56,123.95,0.39,47.3,-5.61
94,Infrastructure,Site_93,682,9758199.02,6926,16,0.78,8.17,628,12359303.88,19,104,0.94,0,9.04,7,9.64,-54,2601104.86,1784.48,0.11,26.66,-7.92
95,Infrastructure,Site_94,481,7907708.36,10496,12,8.29,3.09,660,7122954.07,8,18,0.72,2,9.18,23,6.06,179,-784754.29,678.64,0.88,-9.92,37.21
96,Residential,Site_95,508,1585260.3,57447,2,3.49,3.03,686,2277074.74,4,62,0.76,0,9.9,7,9.24,178,691814.44,39.64,1.35,43.64,35.04
97,Commercial,Site_96,378,5874877.89,30806,41,5.22,5.96,313,7126385.98,19,86,0.65,3,7.78,18,9.75,-65,1251508.09,231.33,1.14,21.3,-17.2
98,Commercial,Site_97,468,9860989.47,89199,24,7.94,5.71,469,10429000.62,1,69,0.62,2,7.06,46,9.16,1,568011.15,116.92,2.76,5.76,0.21
99,Residential,Site_98,579,4975121.8,42321,35,8.84,3.54,603,6767994.04,5,55,0.87,1,8.64,47,6.52,24,1792872.24,159.92,1.28,36.04,4.15
100,Commercial,Site_99,320,2230017.82,66095,30,3.45,3.68,301,3246904.46,25,63,0.8,2,9.12,29,6.33,-19,1016886.64,49.12,3.49,45.6,-5.94
101,Residential,Site_100,130,5105394.49,23656,30,4.62,3.5,153,6076514.52,17,83,0.87,2,9.37,21,6.08,23,971120.03,256.87,1.86,19.02,17.69
102,Residential,Site_101,117,5368347.73,56147,47,4.15,7.94,138,5847913.42,27,121,0.65,2,7.58,8,8.51,21,479565.69,104.15,3.36,8.93,17.95
103,Commercial,Site_102,224,7546025.97,92396,35,0.13,6.87,293,10363463.61,28,104,0.8,3,7.79,43,8.52,69,2817437.64,112.16,3.03,37.34,30.8
104,Commercial,Site_103,290,7139035.61,50666,19,2.96,8.49,360,9345506.61,22,174,0.69,0,8.54,47,9.95,70,2206471.01,184.45,0.81,30.91,24.14
105,Industrial,Site_104,122,4324225.41,83368,8,4.59,9.78,137,6197702.52,18,32,0.68,1,7.99,3,7.59,15,1873477.1,74.34,19.02,43.33,12.3
106,Infrastructure,Site_105,137,2571219.52,39787,26,4.11,5.27,163,3382460.9,8,36,0.6,0,9.58,36,7.33,26,811241.38,85.01,6.78,31.55,18.98
107,Infrastructure,Site_106,592,6628014.59,63946,49,7.22,1.6,570,6933678.76,26,79,0.65,0,8.42,7,8.5,-22,305664.17,108.43,1.42,4.61,-3.72
108,Commercial,Site_107,496,4506187.38,22727,40,3.85,1.43,573,6574507.33,20,118,0.71,4,9.4,0,9.3,77,2068319.95,289.28,0.34,45.9,15.52
109,Industrial,Site_108,663,1756624.01,96081,7,4.89,3.66,725,1691455.8,23,198,0.64,3,8.74,27,9.75,62,-65168.21,17.6,0.67,-3.71,9.35
110,Industrial,Site_109,188,9055436.86,69056,30,4.3,9.39,165,9605696.37,26,86,0.95,4,9.32,5,9.21,-23,550259.51,139.1,4.87,6.08,-12.23
111,Infrastructure,Site_110,636,7066607.65,4081,7,7.41,5.71,601,8565553.6,5,188,0.71,3,8.0,46,7.71,-35,1498945.95,2098.89,0.04,21.21,-5.5
112,Residential,Site_111,702,6990246.64,35196,3,8.63,3.45,684,8664027.75,13,59,0.65,0,9.49,35,8.54,-18,1673781.11,246.17,0.87,23.94,-2.56
113,Residential,Site_112,551,8314546.82,37735,1,5.32,4.59,746,7559472.49,27,133,0.67,0,7.82,10,9.43,195,-755074.33,200.33,0.38,-9.08,35.39
114,Industrial,Site_113,94,5531785.95,81102,36,7.89,6.39,88,7569384.09,25,28,0.81,3,8.64,4,7.96,-6,2037598.15,93.33,32.91,36.83,-6.38
115,Commercial,Site_114,307,8243017.07,80578,25,2.97,6.88,298,9207156.54,23,10,0.62,0,7.64,49,6.87,-9,964139.47,114.26,27.04,11.7,-2.93
116,Residential,Site_115,592,5231862.16,26498,37,5.41,2.39,604,5984471.41,28,49,0.9,0,8.43,23,6.68,12,752609.26,225.85,0.9,14.39,2.03
117,Commercial,Site_116,487,1138166.3,77865,1,3.45,9.79,583,1577067.95,12,169,0.94,1,7.95,46,6.0,96,438901.65,20.25,0.79,38.56,19.71
118,Industrial,Site_117,482,4349856.84,32656,15,4.14,5.9,419,4904768.23,10,31,0.69,4,7.8,17,8.87,-63,554911.39,150.2,2.51,12.76,-13.07
119,Residential,Site_118,296,5225916.49,68695,37,7.32,2.22,406,4851400.8,11,121,0.76,4,9.9,19,6.44,110,-374515.69,70.62,1.4,-7.17,37.16
120,Infrastructure,Site_119,104,7341924.53,38900,13,8.82,9.04,137,7384976.56,18,49,0.61,4,7.48,27,6.98,33,43052.03,189.85,5.79,0.59,31.73
121,Industrial,Site_120,643,1512497.94,85899,40,1.21,1.67,737,2228729.09,18,47,0.82,2,9.36,12,7.19,94,716231.15,25.95,2.48,47.35,14.62
122,Residential,Site_121,550,1830176.12,48701,8,6.35,9.17,662,1724471.03,20,57,0.74,1,9.95,4,8.24,112,-105705.08,35.41,1.29,-5.78,20.36
123,Commercial,Site_122,664,3004996.13,20033,5,5.82,9.97,537,3344436.64,26,192,0.69,4,7.06,29,7.59,-127,339440.52,166.95,0.19,11.3,-19.13
124,Infrastructure,Site_123,330,3031734.74,11805,9,1.18,7.3,331,3643864.72,25,84,0.67,4,9.1,0,8.7,1,612129.98,308.67,0.42,20.19,0.3
125,Residential,Site_124,653,7455753.5,36851,1,2.12,7.93,834,8916846.3,18,192,0.83,1,7.76,21,6.22,181,1461092.8,241.97,0.23,19.6,27.72
126,Infrastructure,Site_125,185,2881941.28,27832,36,3.11,4.04,156,2600594.54,23,188,0.75,0,7.12,17,6.5,-29,-281346.73,93.44,0.95,-9.76,-15.68
127,Industrial,Site_126,574,6514431.6,64437,35,1.67,9.47,556,7821862.64,25,116,0.66,4,8.21,45,8.0,-18,1307431.04,121.39,1.0,20.07,-3.14
128,Residential,Site_127,496,5195601.58,14944,2,2.44,5.77,570,5872398.69,12,197,0.84,0,9.81,4,7.35,74,676797.11,392.96,0.13,13.03,14.92
129,Infrastructure,Site_128,320,5946296.59,20873,40,2.68,7.59,305,8819830.16,27,17,0.8,4,7.04,30,7.18,-15,2873533.56,422.55,4.03,48.32,-4.69
130,Commercial,Site_129,260,8462016.15,41372,23,3.36,9.32,353,8423898.58,13,95,0.9,3,8.76,5,6.27,93,-38117.57,203.61,1.23,-0.45,35.77
131,Residential,Site_130,630,4341624.26,90464,9,7.49,9.78,553,4830024.51,23,77,0.64,2,8.5,26,9.58,-77,488400.25,53.39,2.12,11.25,-12.22
132,Industrial,Site_131,125,7823658.08,16379,34,5.72,8.5,159,9010420.1,17,84,0.87,4,9.62,24,8.77,34,1186762.02,550.12,1.23,15.17,27.2
133,Commercial,Site_132,614,4509342.57,37751,46,9.86,3.73,678,5115470.91,11,146,0.84,3,7.25,28,6.49,64,606128.34,135.51,0.38,13.44,10.42
134,Infrastructure,Site_133,249,3861778.08,90822,14,4.15,9.7,311,5018374.81,3,99,0.64,1,9.04,27,6.26,62,1156596.73,55.26,2.95,29.95,24.9
135,Industrial,Site_134,332,9606958.18,6110,4,7.54,6.65,327,9888516.17,9,139,0.84,3,9.04,15,9.9,-5,281557.99,1618.42,0.13,2.93,-1.51
136,Industrial,Site_135,175,2251523.75,55341,30,8.71,9.38,194,2325020.08,28,89,0.75,1,9.01,11,8.72,19,73496.34,42.01,3.21,3.26,10.86
137,Infrastructure,Site_136,667,1358201.13,13087,31,6.79,7.08,876,1816630.09,16,104,0.93,4,9.83,19,7.67,209,458428.97,138.81,0.14,33.75,31.33
138,Infrastructure,Site_137,646,7824366.29,24762,38,4.12,3.77,697,9390603.43,3,79,0.65,1,9.47,17,8.81,51,1566237.13,379.23,0.45,20.02,7.89
139,Commercial,Site_138,663,1148372.2,83617,11,7.54,4.33,673,1319586.92,11,99,0.82,3,7.13,33,9.03,10,171214.72,15.78,1.26,14.91,1.51
140,Residential,Site_139,117,8452250.41,10596,35,2.04,5.95,131,8465113.31,12,68,0.73,2,8.41,22,9.12,14,12862.9,798.9,1.19,0.15,11.97
141,Commercial,Site_140,709,4653337.27,19313,8,3.28,8.11,872,4711579.99,28,156,0.93,0,8.19,44,7.91,163,58242.72,243.96,0.14,1.25,22.99
142,Commercial,Site_141,645,9197379.93,67549,3,5.47,3.86,687,8335870.39,26,37,0.72,0,7.93,26,7.72,42,-861509.55,123.4,2.66,-9.37,6.51
143,Residential,Site_142,429,7354562.18,24705,14,5.75,6.22,584,7022546.07,28,81,0.94,2,8.35,48,6.04,155,-332016.11,284.26,0.52,-4.51,36.13
144,Residential,Site_143,420,6298844.34,68364,13,0.22,4.11,410,7773424.06,3,23,0.92,0,8.15,16,9.71,-10,1474579.72,113.71,7.25,23.41,-2.38
145,Infrastructure,Site_144,729,9518414.57,74445,45,9.45,8.34,791,13660104.03,9,33,0.69,4,8.3,47,8.41,62,4141689.46,183.49,2.85,43.51,8.5
146,Residential,Site_145,595,4268169.04,79645,32,6.97,5.2,746,4576752.8,24,121,0.88,4,9.94,20,6.81,151,308583.75,57.46,0.88,7.23,25.38
147,Infrastructure,Site_146,437,9563825.9,3023,34,4.96,1.69,530,10488153.75,2,53,0.95,3,7.27,49,9.68,93,924327.85,3469.45,0.11,9.66,21.28
148,Commercial,Site_147,562,1782512.14,60796,45,9.33,2.49,740,1727901.96,14,65,0.69,3,9.77,39,9.66,178,-54610.17,28.42,1.26,-3.06,31.67
149,Commercial,Site_148,320,5095671.95,81073,19,4.39,1.55,447,5774306.24,1,129,0.75,1,8.44,30,9.96,127,678634.29,71.22,1.41,13.32,39.69
150,Commercial,Site_149,279,3064156.61,93197,38,9.8,5.49,294,2826172.83,24,188,0.78,3,8.87,2,9.5,15,-237983.78,30.32,1.69,-7.77,5.38
151,Residential,Site_150,314,5628506.4,65429,16,5.12,1.96,272,8164488.59,24,41,0.7,4,9.49,16,9.99,-42,2535982.19,124.78,5.87,45.06,-13.38
152,Commercial,Site_151,474,2039131.84,62627,2,1.14,2.03,387,2658756.33,16,187,0.61,3,8.08,49,6.98,-87,619624.49,42.45,0.87,30.39,-18.35
153,Residential,Site_152,466,8494531.77,34848,40,7.65,9.47,576,12694646.94,5,178,0.68,0,8.29,25,9.37,110,4200115.17,364.29,0.34,49.44,23.61
154,Industrial,Site_153,372,8540874.57,38804,17,6.79,8.85,492,12210836.25,25,34,0.7,1,8.23,22,9.29,120,3669961.68,314.68,2.32,42.97,32.26
155,Residential,Site_154,722,9574744.97,16379,34,7.73,5.07,673,11334529.06,7,125,0.76,1,8.12,5,6.92,-49,1759784.09,692.02,0.19,18.38,-6.79
156,Infrastructure,Site_155,717,1969385.34,60664,42,9.51,9.87,641,2386522.85,2,198,0.66,4,9.78,27,6.39,-76,417137.51,39.34,0.48,21.18,-10.6
157,Industrial,Site_156,348,6421659.23,28766,16,7.76,1.0,291,6513781.97,26,75,0.91,3,9.49,7,9.92,-57,92122.73,226.44,1.32,1.43,-16.38
158,Residential,Site_157,448,5005254.43,69099,38,6.11,6.53,579,5892303.67,24,51,0.85,0,7.33,44,7.18,131,887049.24,85.27,2.34,17.72,29.24
159,Infrastructure,Site_158,545,3771645.45,37060,2,8.57,6.55,537,5438021.49,17,173,0.63,3,7.32,7,9.48,-8,1666376.04,146.74,0.4,44.18,-1.47
